datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2008 5:00:00 AM,1/1/2008 12:00:00 AM,1/1/2008 6:00:00 AM,1/1/2008 1:00:00 AM,AEP,14755
1/1/2008 6:00:00 AM,1/1/2008 1:00:00 AM,1/1/2008 7:00:00 AM,1/1/2008 2:00:00 AM,AEP,14475
1/1/2008 7:00:00 AM,1/1/2008 2:00:00 AM,1/1/2008 8:00:00 AM,1/1/2008 3:00:00 AM,AEP,14217
1/1/2008 8:00:00 AM,1/1/2008 3:00:00 AM,1/1/2008 9:00:00 AM,1/1/2008 4:00:00 AM,AEP,14149
1/1/2008 9:00:00 AM,1/1/2008 4:00:00 AM,1/1/2008 10:00:00 AM,1/1/2008 5:00:00 AM,AEP,14254
1/1/2008 10:00:00 AM,1/1/2008 5:00:00 AM,1/1/2008 11:00:00 AM,1/1/2008 6:00:00 AM,AEP,14625
1/1/2008 11:00:00 AM,1/1/2008 6:00:00 AM,1/1/2008 12:00:00 PM,1/1/2008 7:00:00 AM,AEP,15001
1/1/2008 12:00:00 PM,1/1/2008 7:00:00 AM,1/1/2008 1:00:00 PM,1/1/2008 8:00:00 AM,AEP,15337
1/1/2008 1:00:00 PM,1/1/2008 8:00:00 AM,1/1/2008 2:00:00 PM,1/1/2008 9:00:00 AM,AEP,15656
1/1/2008 2:00:00 PM,1/1/2008 9:00:00 AM,1/1/2008 3:00:00 PM,1/1/2008 10:00:00 AM,AEP,16152
1/1/2008 3:00:00 PM,1/1/2008 10:00:00 AM,1/1/2008 4:00:00 PM,1/1/2008 11:00:00 AM,AEP,16662
1/1/2008 4:00:00 PM,1/1/2008 11:00:00 AM,1/1/2008 5:00:00 PM,1/1/2008 12:00:00 PM,AEP,16982
1/1/2008 5:00:00 PM,1/1/2008 12:00:00 PM,1/1/2008 6:00:00 PM,1/1/2008 1:00:00 PM,AEP,17128
1/1/2008 6:00:00 PM,1/1/2008 1:00:00 PM,1/1/2008 7:00:00 PM,1/1/2008 2:00:00 PM,AEP,17188
1/1/2008 7:00:00 PM,1/1/2008 2:00:00 PM,1/1/2008 8:00:00 PM,1/1/2008 3:00:00 PM,AEP,17128
1/1/2008 8:00:00 PM,1/1/2008 3:00:00 PM,1/1/2008 9:00:00 PM,1/1/2008 4:00:00 PM,AEP,17278
